
2023/07/21 (20:29:57) | ===> btop++ v.1.2.13
2023/07/21 (20:29:57) | WARNING: Failed to join _runner thread on exit!

2023/07/29 (21:45:41) | ===> btop++ v.1.2.13
2023/07/29 (21:45:41) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2023/11/22 (16:04:11) | ===> btop++ v.1.2.13
2023/11/22 (16:04:11) | DEBUG: Starting in DEBUG mode!
2023/11/22 (16:04:11) | INFO: Logger set to DEBUG
2023/11/22 (16:04:11) | DEBUG: Setting LC_ALL=en_US.UTF-8
2023/11/22 (16:04:11) | INFO: Running on /dev/pts/6
2023/11/22 (16:04:11) | DEBUG: Loading theme file: /usr/share/btop/themes/gruvbox_dark.theme
2023/11/22 (16:04:21) | INFO: Quitting! Runtime: 00:00:10
